product_code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111035000430,0.3333333333333333,Low,Moderate Sugar,Yes
6111242100992,0.4361702127659574,Low,Low Sugar,No
6111035002175,0.271523178807947,Moderate,Low Sugar,Yes
6111035000058,0.271523178807947,Moderate,Low Sugar,No
6111252421568,0.0,Low,Low Sugar,Yes
6111266962187,0.0,Low,Low Sugar,No
3274080005003,0.0,Low,Low Sugar,No
6111246721261,0.0,Low,Low Sugar,No
6111242101180,0.0,Low,Low Sugar,No
6111242106949,0.0,Moderate,Low Sugar,Yes
6111128000071,0.0,Low,Low Sugar,No
6111035502828,0.0,Low,Low Sugar,Yes
6111035000027,0.0,Low,Low Sugar,Yes
50184453,0.04,Moderate,Low Sugar,Yes
6111242100985,0.0,Moderate,Low Sugar,No
6111032009665,0.0,Low,Low Sugar,No
6111099003897,0.0,High,Low Sugar,Yes
5449000054227,1.0,Low,Moderate Sugar,Yes
6111252421582,0.0,Low,Low Sugar,No
7622210449283,0.463768115942029,High,High Sugar,Yes
3046920029759,0.5,High,Moderate Sugar,No
3046920028004,0.8823529411764706,High,High Sugar,No
6111035003035,0.271523178807947,Moderate,Low Sugar,Yes
3017620425035,0.9791304347826086,High,High Sugar,Yes
5449000147417,1.827956989247312,Low,High Sugar,Yes
6111031005064,0.5575757575757575,Moderate,Moderate Sugar,No
6111180000231,0.0,Moderate,Low Sugar,Yes
6111128000163,0.0,Low,Low Sugar,Yes
3175680011480,0.265625,High,High Sugar,Yes
6111162000839,1.0272297407467796,Moderate,High Sugar,No
6111035001659,0.271523178807947,Moderate,Low Sugar,Yes
6111242100206,0.0,Low,Low Sugar,No
8410376009392,0.0076923076923076,High,Low Sugar,Yes
3046920028363,0.6363636363636364,High,Moderate Sugar,No
6111035001635,0.0,Low,Low Sugar,Yes
6111184004129,0.2272727272727273,High,Low Sugar,Yes
5025125000006,0.0544217687074829,Moderate,Low Sugar,No
5411188112709,0.0,Low,Low Sugar,Yes
6111128000460,0.271523178807947,Moderate,Low Sugar,No
20995553,0.602803738317757,High,Moderate Sugar,Yes
3268840001008,0.271523178807947,Low,Low Sugar,No
3017620422003,0.9791304347826086,High,High Sugar,Yes
5025125000112,0.0430622009569378,Moderate,Low Sugar,No
20005733,0.8108108108108107,High,Low Sugar,No
5025125000037,0.0362694300518134,Moderate,Low Sugar,No
6111203006653,1.0,Moderate,Moderate Sugar,Yes
20724696,1.0,Moderate,Low Sugar,No
6111184001562,0.0,Moderate,Low Sugar,No
6111184004730,0.8700389105058366,Moderate,High Sugar,Yes
6111029000118,1.0,High,High Sugar,Yes
20267605,0.3282828282828283,High,Moderate Sugar,Yes
3362600011044,0.316923105088753,High,High Sugar,Yes
6111032001003,0.6428571428571429,Low,Moderate Sugar,Yes
6111032000600,0.0,Low,Low Sugar,No
5449000214911,1.0,Low,Moderate Sugar,Yes
6111242100305,0.1183431952662722,Moderate,Low Sugar,Yes
5449000061515,0.0,Low,Low Sugar,No
42104964,0.0,Low,Low Sugar,Yes
8425197712024,0.9433962264150944,High,High Sugar,Yes
6111128000088,0.0,Low,Low Sugar,No
6111246721278,0.0,Moderate,Low Sugar,No
5740900404465,1.0,High,Low Sugar,No
6111035003523,0.0,Low,Low Sugar,No
6111035003004,0.0,Low,Low Sugar,Yes
7622210578464,0.8055555555555556,High,High Sugar,No
6111246954461,0.5700325732899023,Moderate,Low Sugar,Yes
6111259343108,0.5203252032520326,High,High Sugar,Yes
6111018903161,0.271523178807947,Moderate,Low Sugar,Yes
6111032006619,0.7258064516129032,Low,Moderate Sugar,Yes
6111251420166,0.0,Low,Low Sugar,No
6111252421575,1.0,Low,Low Sugar,No
8445290615350,0.5789473684210527,Low,Low Sugar,Yes
5449000214799,0.0,Low,Low Sugar,Yes
3362600011228,0.3225806451612903,Moderate,Moderate Sugar,Yes
5000157024671,0.3875968992248061,Low,Moderate Sugar,Yes
6111035001673,0.0,Low,Low Sugar,No
20047238,0.65625,High,Low Sugar,No
5411188124689,0.0,Low,Low Sugar,Yes
7394376616228,0.4788732394366197,Low,Low Sugar,No
6111250470742,0.0,Low,Low Sugar,No
6111203001467,0.0,High,Low Sugar,Yes
7300400481595,0.0161290322580645,High,Low Sugar,No
3046920022651,0.8571428571428571,High,High Sugar,No
6111037000599,0.0,High,Low Sugar,Yes
6111184001661,1.0,Low,Low Sugar,No
6111032008583,0.6153846153846154,Moderate,Moderate Sugar,Yes
8052575090230,0.9444444444444444,High,High Sugar,Yes
3608580065340,0.9622641509433962,High,High Sugar,Yes
5060042641000,0.0130612244897959,High,Low Sugar,No
5010029000016,0.0615384615384615,Moderate,Low Sugar,No
7622210584724,0.0,High,Low Sugar,No
3057640257773,0.0,Low,Low Sugar,No
6111162001218,1.0,Moderate,Low Sugar,No
3046920022606,0.6818181818181818,High,Moderate Sugar,No
