product_code,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,fruits-vegetables-nuts-estimate-from-ingredients_100g,nutrition-score-fr,nova-group
6111035000430,0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
6111242100992,97.0,406.0,9.4,4.1,3.0,1.4,8.0,2.5,0.37,0.148,0.0,7,3
6111035002175,242.0,1193.0,15.1,4.1,6.2,1.4,5.6,2.5,65.0,26.0,0.0,0,4
6111035000058,242.0,1193.0,15.1,4.1,6.2,1.4,5.6,2.5,65.0,26.0,0.0,0,1
6111252421568,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,0.0,0,4
6111266962187,45.0,188.0,4.9,0.0,1.5,1.0,3.1,2.5,0.225,0.09,0.0,-3,3
3274080005003,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,52.5,21.0,0.0,0,1
6111246721261,80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,0.0,-2,3
6111242101180,58.0,1193.0,4.8,0.0,3.0,0.0,3.0,2.5,0.0,0.0,0.0,-1,1
6111242106949,235.0,984.0,3.5,0.0,21.0,15.0,8.0,0.0,0.46,0.184,0.0,11,4
6111128000071,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
6111035502828,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
6111035000027,0.0,1193.0,15.1,0.0,0.0,0.0,0.0,2.5,0.0065,0.0026,0.0,0,4
50184453,260.0,1100.0,30.0,1.2,0.5,0.1,34.0,2.5,10.8,4.32,0.734863281249993,23,4
6111242100985,101.0,1193.0,4.2,0.0,6.0,0.0,7.6,0.0,0.0,0.0,0.0,-2,3
6111032009665,45.0,1193.0,4.8,0.0,1.5,1.0,3.0,2.5,0.0,0.0,0.0,-3,1
6111099003897,675.0,1193.0,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,0.0,18,4
5449000054227,42.0,180.0,10.6,10.6,0.0,0.0,0.0,2.5,0.0,0.0,0.0,12,4
6111252421582,0.0,0.0,15.1,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0,1
7622210449283,467.0,1962.0,69.0,32.0,17.0,5.6,6.3,4.0,0.49,0.196,6.80681818181818,20,4
3046920029759,592.0,1193.0,14.0,7.0,55.0,30.0,10.0,2.5,0.03,0.012,0.0,19,3
3046920028004,566.0,2350.0,34.0,30.0,41.0,24.0,9.5,2.5,0.1,0.04,0.0,25,3
6111035003035,242.0,1193.0,15.1,4.1,6.2,1.4,5.6,2.5,0.78375,0.3135,0.0,0,4
3017620425035,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,2.5,0.107,0.0428,13.0,31,4
5449000147417,39.0,165.0,9.3,17.0,0.0,0.0,0.0,5.0,0.126,0.0504,22.7272727272727,15,4
6111031005064,116.0,487.0,16.5,9.2,5.1,2.5,1.0,0.1,0.05,0.02,0.0,28,2
