product_code,product_name,brand
6111035000430,sidi ali,Sidi Ali
6111242100992,perly,Jaouda
6111035002175,sidi ali,sidi ali
6111035000058,eau minrale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali"
6111252421568,Unknown Product,"pepsi,PepsiCo"
6111266962187,lait,Jaouda
3274080005003,eau de source,Cristaline
6111246721261,fromage blanc nature,MILKY FOOD PROFESSIONAL
6111242101180,uht jaouda 1l,Jaouda
6111242106949,jben,Jaouda
6111128000071,ain sass,Danone
6111035502828,eau minral naturelle,Ain atlas
6111035000027,6111035000027,Sidi Ali
50184453,marmite yeast extract,"Marmite,Unilever"
6111242100985,Unknown Product,Jaouda
6111032009665,lait frais,centrale danone
6111099003897,Unknown Product,lilia
5449000054227,original taste,Coca-Cola
6111252421582,Unknown Product,pepsi
7622210449283,prince got chocolat,Lu
3046920029759,edelbitterschokolade mild 90,Lindt&Sprüngli
3046920028004,excellence 70 cocoa intense dark,Lindt
6111035003035,oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.
3017620425035,nutella,Ferrero
5449000147417,orange juice,Coca cola
6111031005064,tonik,Bimo
6111180000231,levure ptisserie,Brand_Unavailable
6111128000163,ain saiss eau minerale naturelle,Danone
3175680011480,ssame,Gerblé
6111162000839,confiture de fraise,Délicia
6111035001659,ain atlas,Eau minérale naturelle des Montagnes d'Atlas
6111242100206,yaourt nature,Jaouda
8410376009392,zero sin azcares fibra,Gullón
3046920028363,excellence 85 cacao rich dark,Lindt
6111035001635,ain atlas,Eau minérale naturelle
6111184004129,mayonnaise recette originale,Star
5025125000006,sourdough white ciabattin bread,Jason’s
5411188112709,gerstete mandel ohne zucker,Alpro
6111128000460,Unknown Product,aïn Saiss
20995553,dark chocolate 85 cocoa,J.D. Gross
3268840001008,cristaline eau de source 05l,Cristaline
3017620422003,nutella,Ferrero
5025125000112,the great white sourdough,Jason's
20005733,Unknown Product,"Alesto,Lidl"
5025125000037,sourdough grains  seeds,Jason's
6111203006653,cheddar,la Hollandaise
20724696,almonds,"Alesto,Lidl"
6111184001562,star branded iodized salt,Star
6111184004730,ketchup,Star
6111029000118,cosumar sucre en lingot pour le th 1 kg,COSUMAR
20267605,cashewkerne,"Alesto, Lidl, Lidl Alesto, 16 x Lidl 10.25"
3362600011044,henrys,Henry's
6111032001003,assil,Danone
6111032000600,salim,Salim
5449000214911,cocacola,Coca-Cola
6111242100305,cremy,jaouda
5449000061515,ciel,THE COCA-COLA COMPANY
42104964,ciel 33cl,Ciel
8425197712024,Unknown Product,Maruja
6111128000088,ain saiss 50cl,Danone
6111246721278,cream cheese,Original
5740900404465,spreadable slightly salted,Lurpak
6111035003523,Unknown Product,BAHIA
6111035003004,oulmes eau gazeuse,Oulmès
7622210578464,organic 70 dark chocolate bar,Green & Black's
6111246954461,jibal jben,jibal
6111259343108,king cookies,Excelo
6111018903161,nescaf classic,Nestlé
6111032006619,jamila,Danone
6111251420166,eau,Aïn lfrane
6111252421575,aquafina 50cl,Aquafina
8445290615350,sauce tomate cuisine,solis
5449000214799,cocacola zero,Coca-Cola
3362600011228,sable coco henry s 42g,Henry's
5000157024671,fasole alb n sos de roii,Heinz
6111035001673,an atlas 50cl,Aïn Atlas
20047238,Unknown Product,"Alesto,Alesto Lidl,Alesto Selection,Lidl"
5411188124689,hafer milch,ALPRO
7394376616228,oat drink barista edition,Oatly
6111250470742,lait uht entier,Dost
6111203001467,margarine la prairie 225g,la Prairie
7300400481595,tartine croustillante authentique,wasa
3046920022651,excellence noir intense 70 cacao,Lindt
6111037000599,familia 200g,Brand_Unavailable
6111184001661,star vinaigre de table blanc,Star
6111032008583,Unknown Product,Gervais
8052575090230,nocciolata,Rigoni Di Asiago
3608580065340,pte  tartiner noisettes et cacao,Bonne Maman
5060042641000,lightly sea salted,Tyrrell's
5010029000016,weetabix,Weetabix
7622210584724,dark chocolate,Green and black
3057640257773,eau minrale naturelle,Volvic
6111162001218,filets de maquereau,joly
3046920022606,excellence noir puissant 85 cacao,Lindt
3155251205296,tartine doux,Primevère
6111251753912,611251753912,sos
6111248360130,an soltane,سلطان
6111003031107,Unknown Product,8dh
3229820100234,fourrs chocolat noir,Bjorg
6111184001074,confiture de fraises 430 g,El Baraka
20022464,noir intense 74 cacao,fin CARRÉ
5449000206770,eau de table,Ciel
6111184001197,Unknown Product,Star
3760020507350,pur beurre de cacahute,"Jardin Bio, Léa Nature"
5449000036872,hawai tropical,"Hawai,Coca cola"
6111242100220,lait entier uht,Jaouda
8715035110106,sojasauce,Kikkoman
3329770077003,skyr nature 0,Yoplait
5013665100065,organic  lightly salted  wholegrain low fat  rice cakes imp,Kallø
6111184000619,mayonnaise,Star
6923818812082,green tea,green tea
3760049798609,pain de mie grandes tranches seigle  graines 500g,La Boulangère
6111099000599,huile de table lio,Brand_Unavailable
8052575090254,nocciolata bio,Rigoni di Asiago
5025125000129,jasons sourdough 97 superb sprouted grains,JASON'S
7300400481588,fibres,Wasa
7311070032611,krisprolls complets sans sucres ajouts,Krisprolls
3029330022428,14 maxi tranches complet sans sucres ajouts,Jacquet
3362600011006,henrys,Henry’s
6111162000716,confiture dabricot,Delicia
8076809513753,pesto alla genovese,Barilla
5411188110835,mandelmilch mit zucker,alpro
3168930010265,cruesly mlange de noix,Quaker
6111259341197,momo black,Excelo
16256163,poulain,Poulain
6111184007618,Unknown Product,Star
50457236,tomato ketchup,Heinz
5410041001204,original,"LU, Mondelēz, Tuc, Mondelez"
6111251420135,an ifrane,Brand_Unavailable
6111180000392,Unknown Product,Idéal
3017620429484,nutella,"Ferrero, Nutella"
6111031005552,merendino,"Bimo,Mondelez"
8000500310427,biscuits croquants au coeur onctueux de nutella,"Nutella,Ferrero"
6111032001010,danone assil banane,Danone
6111099005396, ,Lilia
16256866,1848 chocolat en poudre,Poulain
6111206000733,jebli,"Centrale, Danone, Jebli"
6111184000213,el baraka confiture dabricots 430 g,el baraka
8002270014901,s pellegrino water,"Nestlé,Nestlé Waters,San Pellegrino"
59032823,nutella,"Ferrero,Nutella"
6111018501480,nescaf,Nescafe
3155250358788,primevre bio doux tartine  cuisson,Primevère
50160884,vegan bouillon powder reduced salt,Marigold
6111259340992,eyoo cover,EXCELO
6111242100930,raibi jaoda,Jaouda
3068320123264,la salvetat,"Danone,La Salvetat"
6111242102781,tendre nature,"Tendre, jouda"
4056489148739,natural yogurt,Milbona Lidl
6111242103702,yaourt grec muesli,Jaouda
6175700,tartines craquantes au sarrasin imp,"Ekibio,Le pain des Fleurs"
5010265002911,dark rye crispbread,Ryvita
6111032008453,danino,Danone
5449000131805,cocacola zero,Coca-Cola
3608580124047,be nuts   pte  tartiner cacahute,Andros
6111214004747,pipas,Brand_Unavailable
3175681851849,pomme   noisette,Gerblé
54491472,coca cola 05,Coca-Cola
3451790988677,le beurre tendre doux,"Elle & Vire, Savencia"
5010029000801,family pack,Weetabix
6111242101050,lben carton pasteuriser,Jaouda
20003166,zarte haferflocken,Crownfield
5013665112273,organic vegetable stock cubes,Kallø
6111250012416,le bon lait,Albane
5411188115366,oat,Alpro
10596975,4 garlic  herb kebabs,Wicked Kitchen
6111252860077,trios,Aperitivos company
6111245591063,dalaa 550 feuilles,Brand_Unavailable
6111242100817,le lait demi crm,Jaouda
20095291,dark chocolate 70,"J.D. Gross,Lidl"
3229820019307,flocons davoine,Bjorg
5034467000216,tofoo naked,The Tofoo Co.
80176800,Unknown Product,Ferrero
6111126003821,lait frais 15 jours,Chergui
6111035003509,bahia eau de table,Bahia
3480341000674,fresh square 0  plain,"Elle & Vire,Savencia"
6111203001474,la prairie classique,margafrique
8410076801180,crunchy oats  honey,Nature Valley
4008400401621,nutella,Ferrero
6111032000631,salim,Brand_Unavailable
80052760,2 bars milk and hazelnuts,"Kinder,Kinder Bueno"
6111242102002,ghilal yaourt zr3,Jaouda
3251490332080,figue  son,Gerblé
3175680015228,levure de bire,Gerblé
3229820160672,croustillant chocolat,Bjorg
5449000133328,Unknown Product,Coca-Cola
5449000131836,zero sugar,Coca-Cola
3760049790214,pain de mie bio,"La Boulangère,La Boulangère Bio"
20006105,wholegrain rye bread,"Lidl, Rowan Hill Bakery, Lidl Rowan Hill Bakery, Lidl Tastino"
3046920028721,bitter extra kraftig,Lindt&Sprüngli
5010003064744,seed sensations,Hovis
3019081238643,sardines huile dolive vierge extra,Parmentier
5449000000439,cocacola,Coca-Cola
6111024001516,huile de table quilibre riche en vitamines aed3,Lesieur
7613035040823,nestl dessert,Nestlé
6111259342828,petit beurre,Bé
3257971309114,eau minrale naturelle,Mont Roucous
7322540548563,jempo,Brand_Unavailable
7640154260283,Unknown Product,Brand_Unavailable
3256540000698,pains au lait x10,Pasquier
8000500179864,nutella,"Ferrero,Nutella"
3045140105502,chocolat au lait,Milka
50457250,tomato ketchup,Heinz
6111184001203,moutarde,Star
5020364010113,bakery co 5 the original bagels,New York Bakery Co
42105220,coca cola,Coca-Cola
5036589252450,yeo valley organic kefir natural fermented yogurt,Yeo Valley Organic
3033710073467,ricore original,"Nestlé, Ricore"
3284230006408,brioche tranche bio 400g,La Boulangère
6111242103528,croissance rduit en sucre,Jaouda
7622201693916,philadelphia,Mondelez International
6111242105331,beurre frais pasteuris,Jaouda
6111035502941,eau minrale naturelle gazeuse,les Eaux Minérales d’Oulmes
3225350000501,ble 70cl citron pulco,"Orangina Schweppes France,Pulco,Schweppes International Limited"
87157215,tomato ketchup,Heinz
40896243,bio chocolat noir cacao 70,Fairglobe
50457243,tomato ketchup,Heinz
8722700479475,real mayonnaise,Hellmann's
6111259343344,king cookies choco,Excelo
10614594,granatapfel sauerkirsche fruchtgummi,Sweet-Land
8719200237902,vegetable fat spread with 10 olive oil,Bertolli
8076809523547,pesto rosso,Barilla
3088543506255,sirop dagave,Sunny Via
3480341000636,carr frais  nature,Elle&Vire
8718114724485,mayonnaise,Hellmann's
6111250474405,peripella,Peripella
6111242102767,yaourt tendre,Brand_Unavailable
5411188103387,vanille au soja,alpro
3760091727732,beurre bio cacahute,Ethiquable
5010029000023,weetabix produit  base de bl complet 100,Weetabix
4056489346357,bioalmondmandelmilch,Vemondo Lidl
5201054017432,5 greek yogurt,Fage
4088600247519,36 wheat bisks,Harvest Morn
5057967395088,rye  mixed seed sourdough bread,Tesco
90382383,cappy pulpy,Coca-Cola Company
6111246953679,unknown,Jibal
3587220002252,la gche tranche,La Fournée Dorée
3046920029780,excellence noir subtil doux 70 cacao,Lindt
6111250472241,bol bol ketchup,Bol&Bol
6111260230619,tranches au got cheddar,Ideal
6111246651261,unknown,Brand_Unavailable
3366321052386,st hubert bio  vgtal,st hubert
5053990101597,sour cream  onion,Pringles
6111184003276,assaisonnement aromatis au citron,Star
3229820129488,muesli raisin figue abricot,Bjorg
7613039490266,nesquik,Nestlé
3033710084913,arome maggi,"Nestlé, Maggi"
3327272107969,menguys peanut 100,Menguy's
6111246250013,levure rafiaa,Brand_Unavailable
3088542500285,sirop drable ambr got riche,Maple joe
3760049791006,tartines campagne 450g,La boulangere
4008400404127,nutella,Ferrero
6111242101272,muscly la force pour grandir,Jaouda
8410510012196,chocolat noir 92 cacao,Dark Excellente
4056489007180,pain de mie grandes tranches spcial sandwich complet,"Maître Jean Pierre, Lidl"
4088600246291,seeded sourdough bread,Specially Selected
7622210601988,granola loriginal,"LU, Mondelez International"
5410126006957,biscoff creamy,Lotus
6111242104198,pressup,jaouda
6111021090049,concentr de tomates aicha,Aicha
6111251753899,olla,Olla
3041090063206,cracotte crales compltes,"lu, LU"
20815394,fruit  nut mix,"Alesto,Lidl"
5010477348678,special muesli 30 fruits  noix,Jordans
6111250470209,Unknown Product,VIP
5011273040698,runny honey imp,Rowse
6111035001024,oulms eau minerale naturellement gazeuse,ولماس ماء معدني غازي طبيعي
5059697731860,ecuador dark chocolate,Tesco finest
4016241030573,skyr  natural fat free  0 fat,Arla
5017764128104,chips,Kettle
8198701234564,pte darachide,Artesto
5053990101573,pringles sare,Pringles
8719200269743,flora buttery,Flora
7300400481571,wasa,"Barilla,Wasa"
7613035676497,ricor original,Nestlé
20047559,greek style yogurt,"Milbona, Pilos"
3362600001106,henrys sable coco biscuit 85g,Henrys
3041090063114,cracotte,LU
3175681851856,biscuit raisins,Gerblé
5000157076410,seriously good times mayonnaise,Heinz
6111266962446,6111266962446,Brand_Unavailable
6111180003102,mayfine,Brand_Unavailable
7613287431943,nesquik cocoa,Nestlé
3229820794525,nutri avoine chocolat,Bjorg
5053990156009,pringles original,Pringles
3061990143365,biscuits got chocolat,"BN,United Biscuits"
5025125000150,everyday white rolls,Jason's
5013665112235,organic chicken stock cubes 8 pack,Kallø
3045320094008,strawberry jam,Bonne Maman
5000168036755,digestives,McVitie's
6111206000696,Unknown Product,DANONE
3228857001231,harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys
5000108022152,quaker rolled oats,Quaker
8720182556738,maille moutarde fine de dijon loriginale bocal 360g,Maille
6153153,tartines craquantes quinoa  pois chiche,Jardin Bio
8410076610737,protein cacahuetes  chocolat,Nature Valley
5013665108801,crunchy peanut butter,Whole earth
6111246950845,jibal,Jibal
20202392,brazil nuts,"Alesto, Lidl, Lidl Alesto"
3412290070101,paysan breton  le fromage fouett madame lok  nature au sel de gurande,"Le Fromage Fouetté Madame Loïk, Paysan breton"
6111162001201,delicia double concentre de tomates,Delicia
6111250473453,vip crema gold,VIP
5013665111610,lightly salted low fat corn cakes,Kallø
6111251420272,an ifran eau minrale naturelle,Ain ifrane
3327272107259,menguys beurre de cacahutes creamy,Menguy's
6111035001383,eau minerale,Sidi ali
3228857000166,100 mie complet 500g,Harrys
7622201133337,figolu,LUMondelez
5010044000701,crumpets,Warburtons
5016084000374,nutritional yeast flakes,Engevita
8434165466333,krit krititas galletas saladas,"Cuétara, Krit"
6111259347021,unknown,Brand_Unavailable
6111184000657,star mayonnaise,Star
6111259093140,unknown,Brand_Unavailable
3229820787015,bjorg amande almond sans sugres no sugar,BjORG
8410376026962,digestive avena choco,Gullón
8410376009415,chip choco zero sin azcares,Gullón
6111162000723,dlicia  confiture dabricot,Delicia
3155251205302,tartine doux,Primevère
8719200012608,proactiv margarine tartine,ProActiv
5411188116592,dlicieuse  tropical coco,alpro
6111175000741,41022,Brand_Unavailable
6111242102019,flan caram jao dan,Jaouda
6111180007339,Unknown Product,Brand_Unavailable
3366321051983,omga 3 doux,"St Hubert, St hubert omega 3"
8410076601131,crunchy avoine et miel,Nature ValleyGeneral Mills
90338243,cocacola original taste,Coca-Cola
5060337220415,kefir drink original,Biotiful
6111032002925,yaourt nature,Danone
5025125000105,no 6 sourdough majestic malted,Jason's
6111242380219,Unknown Product,حلال
3175680011534,biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé"
5411188119098,natur mit kokosnuss,Alpro
3229820782560,muesli superfruits raisins cassiscranberry myrtille,Bjorg
4014400400007,toffifee,Storck
680569854124,fermented coconut yoghurt alternative,The Coconut Collab
6111028000980,kiri carr 8p,Kiri
8410076601148,crunchy avoine  chocolat noir x 5 x 2 barres de 21 g,"General Mills,Nature Valley"
4088600327587,dark rye sourdough,Specially Selected
3504182960123,tomates cerises allonges,Azura
3175681105423,cookie cacao ppites sans sucre,Gerblé
8720182460721,amora moutarde forte bocal 430g,Amora
5036589255598,organic natural yoghurt,Yeo Valley
5201054017418,fage total 0 yogurt,Fage
5060228323799,ramonas heavenly houmous,Ramona's
6111266960336,perly fromage,perly
3159470000120,corn flakes,Kellogg's
5410126716016,biscoff,Lotus
5059697710001,dark milk chocolate,Tesco
3392460480827,biscottes 6 crales,Heudebert
3175680011442,biscuit soja orange,Gerblé
5000168198491,sabls anglais loriginal,"McVitie's,United Biscuits"
16811207,petit djeuner miel et ppites de chocolat,belvita
1318180,multiseed wholemeal farmhouse loaf,"Sainsbury's, Taste the difference"
3229820021027,ptit nature complet,Bjorg
3068320120256,eau minrale naturelle,Evian
7394376616501,haferdrink barista,Oatly
3046920029674,excellence  la pointe de fleur de sel noir,Lindt
6111099000247,hule dolive,زيت الزيتون واد سوس
3017620421006,pte  tartiner nutella noisettes et cacao  750g,Ferrero
8076800195057,spaghetti no 5,"Barilla, BARILLA NORGE AS"
3046920010047,excellence noir cors 78 cacao,Lindt
4006985906203,cacao en poudre non sucr,Van Houten
3124480191182,pet 2l oasis tropical,"Oasis,Orangina Schweppes France"
5053990161669,    ,Pringles
6111242107380,press up,Brand_Unavailable
3228857001378,brioche moins de sucre,Harrys
6111032006749,danette chklat,Danette
6111252422008,aquafina,Brand_Unavailable
6111262821150,unknown,Brand_Unavailable
3664346312936,pte  tartiner,Poulain
5057967395071,white sourdough,Tesco Finest
6111032010135,double zro cerise,Danone
8715700407760,tomato ketchup bio,Heinz
4056489141877,huile dolive vierge extra,"Lidl,Primadona"
5449000015105,sprite,Sprite
6111250474191,efor vinaigre de table blanc,efor
3302740087059,les tranches vg  lentilles corail,Fleury Michon
3760049794298,pain de mie bio grandes tranches crales  graines 500g,La Boulangère
8410111211202,atun,Isabel
3168930009078,flocons davoine complte,Quaker
3017760542890,pain grill au bl complet,LU Pelletier
3272770098090,st mret,St Môret
3168930163480,alvalle gazpacho loriginal,Alvalle
6111180007650,cacao,Idéal
4056489216162,high protein chocolate flavour pudding,Milbona
5053990167807,pringles original,"Kellogg's, Pringles"
5060198641251,organic piadina 4 wholeblend flatbreads with extra virgin olive oil,Crosta & Mollica
5013665115373,lentil  pea veggie cakes  beetroot  balsamic,Kallø
6111184004716,star moutarde,Star moutarde de Dijon
6111025120605,chocolat monogram,Macao
3229820181950,fourrs chocolat au lait,Bjorg
5053990107339,pringles,"PRINGLES, PRINGLES ORIGINAL"
6111024002186,houilor,Huilor
5010477348357,country crisp 4 noix,Jordans
4008713756661,copos de avena,Brüggen
6111021026000,double concentr de tomates,Aicha
8712100338694,maizena fleur de mas sans gluten 400g,"Maïzena, Unilever"
4056489039518,petit pains grills bl complet,Maître Jean Pierre
6111017007013,caobel,Aiguebelle
7613035530799,nesquik moins de sucres,"Nestlé, Nesquik"
3083681095296,ratatouille cuisine  la provenale cassegrain 380g,Cassegrain
4088600060880,authentic greek yogurt,Brooklea
6111032004455,dan up,Danone
6111032006718,Unknown Product,Danone
6111162001164,delicia,Délicia
5014213711290,crunchy peanut butter,"Meridian, Meridian Foods"
5000165024014,pure irish butter,Kerrygold
5060092690331,real mayonnaise,Stokes
5051399182506,chickpeas in water,Tesco
8410510012202,chocolate negro,Dark Excelente
3067140013120,chicore soluble nature,Leroux
20150907,Unknown Product,Alesto
6111184000701,moutarde de dijon,Star
6111243860376,ice,ice
3021769505602,pompotes compotes gourdes pomme nature 1x90g,"Materne, POM'POTES, Sans sucres ajoutés"
7613032655495,chicore  caf ricor loriginal bote de 260g,"Nestlé, Ricoré"
3046920016377,lindt excellence 100 cocoa,Lindt
6111162000181,joly thon entier,Joly
7622210995087,180g c or noir noisette,"Côte D’Or, Mondelez"
5018357012497,dorset cereals simply nutty,Dorset cereals
6111021090056,aicha tomato paste,Aicha
8402001010873,muesli crunchy,Hacendado
6111266962576,Unknown Product,Jaouda
3033710065783,le choco,"Nestlé, Le chocolat"
5000111046244,hp sauce original imp,HP Foods
5060198640261,classic torinesi breadsticks,Crosta & Mollica
3228857000852,harrys pain de mie 100 mie nature sans croute 500g,Harrys
3760049790252,pain de mie grandes tranches toastiligne complet,la boulangère
6111032010128,danone zro sucre ajout zro matire grasse,Danone
6111032002208,activia crales,Danone
6111242882263,unknown,رفيع
